product_type,product_name,product_description,brand,model_series,min_stock_threshold,reorder_point,is_discontinued,meta_title,meta_description,slug,keywords,og_image,product_highlights,long_description,is_published,product_video_url,product_video_file,tag_ids,brand_ids,is_global
PH,Apple iPhone SE,Apple Apple iPhone SE iphone se,Apple,iphone se,5,10,False,Apple iPhone SE - Apple - Affordable Gadgets,"Explore the Apple iPhone SE by Apple, a high-quality phone.",apple-iphone-se,"apple, apple iphone se, iphone se, phone",,[],"Discover the Apple iPhone SE iphone se from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iphone 6s,Apple Apple iphone 6s iphone 6s,Apple,iphone 6s,5,10,False,Apple iphone 6s - Apple - Affordable Gadgets,"Explore the Apple iphone 6s by Apple, a high-quality phone.",apple-iphone-6s,"apple, apple iphone 6s, iphone 6s, phone",,[],"Discover the Apple iphone 6s iphone 6s from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Google pixel 6,Google Google pixel 6 pixel 6,Google,pixel 6,5,10,False,Google pixel 6 - Google - Affordable Gadgets,"Explore the Google pixel 6 by Google, a high-quality phone.",google-pixel-6,"google, google pixel 6, phone, pixel 6",,[],"Discover the Google pixel 6 pixel 6 from Google. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung 10 plus,Samsung Samsung 10 plus 10 plus,Samsung,10 plus,5,10,False,Samsung 10 plus - Samsung - Affordable Gadgets,"Explore the Samsung 10 plus by Samsung, a high-quality phone.",samsung-10-plus,"10 plus, phone, samsung, samsung 10 plus",,[],"Discover the Samsung 10 plus 10 plus from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung s21 ultra,Samsung Samsung s21 ultra s21 ultra,Samsung,s21 ultra,5,10,False,Samsung s21 ultra - Samsung - Affordable Gadgets,"Explore the Samsung s21 ultra by Samsung, a high-quality phone.",samsung-s21-ultra,"phone, s21 ultra, samsung, samsung s21 ultra",,[],"Discover the Samsung s21 ultra s21 ultra from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A54,Samsung Samsung A54 a54,Samsung,a54,5,10,False,Samsung A54 - Samsung - Affordable Gadgets,"Explore the Samsung A54 by Samsung, a high-quality phone.",samsung-a54,"a54, phone, samsung, samsung a54",,[],"Discover the Samsung A54 a54 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple xs,Apple Apple xs xs,Apple,xs,5,10,False,Apple xs - Apple - Affordable Gadgets,"Explore the Apple xs by Apple, a high-quality phone.",apple-xs,"apple, apple xs, phone, xs",,[],"Discover the Apple xs xs from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple xr,Apple Apple xr xr,Apple,xr,5,10,False,Apple xr - Apple - Affordable Gadgets,"Explore the Apple xr by Apple, a high-quality phone.",apple-xr,"apple, apple xr, phone, xr",,[],"Discover the Apple xr xr from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A14,Samsung Samsung A14 a14,Samsung,a14,5,10,False,Samsung A14 - Samsung - Affordable Gadgets,"Explore the Samsung A14 by Samsung, a high-quality phone.",samsung-a14,"a14, phone, samsung, samsung a14",,[],"Discover the Samsung A14 a14 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S23,Samsung Samsung S23 s23,Samsung,s23,5,10,False,Samsung S23 - Samsung - Affordable Gadgets,"Explore the Samsung S23 by Samsung, a high-quality phone.",samsung-s23,"phone, s23, samsung, samsung s23",,[],"Discover the Samsung S23 s23 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple xs max,Apple Apple xs max xs max,Apple,xs max,5,10,False,Apple xs max - Apple - Affordable Gadgets,"Explore the Apple xs max by Apple, a high-quality phone.",apple-xs-max,"apple, apple xs max, phone, xs max",,[],"Discover the Apple xs max xs max from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung Z fold 4,Samsung Samsung Z fold 4 z fold 4,Samsung,z fold 4,5,10,False,Samsung Z fold 4 - Samsung - Affordable Gadgets,"Explore the Samsung Z fold 4 by Samsung, a high-quality phone.",samsung-z-fold-4,"phone, samsung, samsung z fold 4, z fold 4",,[],"Discover the Samsung Z fold 4 z fold 4 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A20s,Samsung Samsung A20s a20s,Samsung,a20s,5,10,False,Samsung A20s - Samsung - Affordable Gadgets,"Explore the Samsung A20s by Samsung, a high-quality phone.",samsung-a20s,"a20s, phone, samsung, samsung a20s",,[],"Discover the Samsung A20s a20s from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A40,Samsung Samsung A40 a40,Samsung,a40,5,10,False,Samsung A40 - Samsung - Affordable Gadgets,"Explore the Samsung A40 by Samsung, a high-quality phone.",samsung-a40,"a40, phone, samsung, samsung a40",,[],"Discover the Samsung A40 a40 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung s22 ultra,Samsung Samsung s22 ultra s22 ultra,Samsung,s22 ultra,5,10,False,Samsung s22 ultra - Samsung - Affordable Gadgets,"Explore the Samsung s22 ultra by Samsung, a high-quality phone.",samsung-s22-ultra,"phone, s22 ultra, samsung, samsung s22 ultra",,[],"Discover the Samsung s22 ultra s22 ultra from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 6s,Apple Apple 6s 6s,Apple,6s,5,10,False,Apple 6s - Apple - Affordable Gadgets,"Explore the Apple 6s by Apple, a high-quality phone.",apple-6s,"6s, apple, apple 6s, phone",,[],"Discover the Apple 6s 6s from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A13,Samsung Samsung A13 a13,Samsung,a13,5,10,False,Samsung A13 - Samsung - Affordable Gadgets,"Explore the Samsung A13 by Samsung, a high-quality phone.",samsung-a13,"a13, phone, samsung, samsung a13",,[],"Discover the Samsung A13 a13 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung fLIP 3,Samsung Samsung fLIP 3 flip 3,Samsung,flip 3,5,10,False,Samsung fLIP 3 - Samsung - Affordable Gadgets,"Explore the Samsung fLIP 3 by Samsung, a high-quality phone.",samsung-flip-3,"flip 3, phone, samsung, samsung flip 3",,[],"Discover the Samsung fLIP 3 flip 3 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung samsung s21 plus 5g,Samsung Samsung samsung s21 plus 5g samsung s21 plus 5g,Samsung,samsung s21 plus 5g,5,10,False,Samsung samsung s21 plus 5g - Samsung - Affordable Gadgets,"Explore the Samsung samsung s21 plus 5g by Samsung, a high-quality phone.",samsung-samsung-s21-plus-5g,"phone, samsung, samsung s21 plus 5g, samsung samsung s21 plus 5g",,[],"Discover the Samsung samsung s21 plus 5g samsung s21 plus 5g from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung note 20 ultra,Samsung Samsung note 20 ultra note 20 ultra,Samsung,note 20 ultra,5,10,False,Samsung note 20 ultra - Samsung - Affordable Gadgets,"Explore the Samsung note 20 ultra by Samsung, a high-quality phone.",samsung-note-20-ultra,"note 20 ultra, phone, samsung, samsung note 20 ultra",,[],"Discover the Samsung note 20 ultra note 20 ultra from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung fold 3,Samsung Samsung fold 3 fold 3,Samsung,fold 3,5,10,False,Samsung fold 3 - Samsung - Affordable Gadgets,"Explore the Samsung fold 3 by Samsung, a high-quality phone.",samsung-fold-3,"fold 3, phone, samsung, samsung fold 3",,[],"Discover the Samsung fold 3 fold 3 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung s23 ultra,Samsung Samsung s23 ultra s23 ultra,Samsung,s23 ultra,5,10,False,Samsung s23 ultra - Samsung - Affordable Gadgets,"Explore the Samsung s23 ultra by Samsung, a high-quality phone.",samsung-s23-ultra,"phone, s23 ultra, samsung, samsung s23 ultra",,[],"Discover the Samsung s23 ultra s23 ultra from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iPhone 11 128GB Black,Apple Apple iPhone 11 128GB Black iphone 11,Apple,iphone 11,5,10,False,Apple iPhone 11 128GB Black - Apple - Affordable Gadgets,"Explore the Apple iPhone 11 128GB Black by Apple, a high-quality phone.",apple-iphone-11-128gb-black,"apple, apple iphone 11 128gb black, iphone 11, phone",,[],"Discover the Apple iPhone 11 128GB Black iphone 11 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 12pro max,Apple Apple 12pro max 12pro max,Apple,12pro max,5,10,False,Apple 12pro max - Apple - Affordable Gadgets,"Explore the Apple 12pro max by Apple, a high-quality phone.",apple-12pro-max,"12pro max, apple, apple 12pro max, phone",,[],"Discover the Apple 12pro max 12pro max from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 13pro,Apple Apple 13pro 13pro,Apple,13pro,5,10,False,Apple 13pro - Apple - Affordable Gadgets,"Explore the Apple 13pro by Apple, a high-quality phone.",apple-13pro,"13pro, apple, apple 13pro, phone",,[],"Discover the Apple 13pro 13pro from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 13,Apple Apple 13 13,Apple,13,5,10,False,Apple 13 - Apple - Affordable Gadgets,"Explore the Apple 13 by Apple, a high-quality phone.",apple-13,"13, apple, apple 13, phone",,[],"Discover the Apple 13 13 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple XR,Apple Apple XR xr,Apple,xr,5,10,False,Apple XR - Apple - Affordable Gadgets,"Explore the Apple XR by Apple, a high-quality phone.",apple-xr,"apple, apple xr, phone, xr",,[],"Discover the Apple XR xr from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple X,Apple Apple X x,Apple,x,5,10,False,Apple X - Apple - Affordable Gadgets,"Explore the Apple X by Apple, a high-quality phone.",apple-x,"apple, apple x, phone, x",,[],"Discover the Apple X x from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 11,Apple Apple 11 11,Apple,11,5,10,False,Apple 11 - Apple - Affordable Gadgets,"Explore the Apple 11 by Apple, a high-quality phone.",apple-11,"11, apple, apple 11, phone",,[],"Discover the Apple 11 11 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S10e,Samsung Samsung S10e s10e,Samsung,s10e,5,10,False,Samsung S10e - Samsung - Affordable Gadgets,"Explore the Samsung S10e by Samsung, a high-quality phone.",samsung-s10e,"phone, s10e, samsung, samsung s10e",,[],"Discover the Samsung S10e s10e from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A23,Samsung Samsung A23 a23,Samsung,a23,5,10,False,Samsung A23 - Samsung - Affordable Gadgets,"Explore the Samsung A23 by Samsung, a high-quality phone.",samsung-a23,"a23, phone, samsung, samsung a23",,[],"Discover the Samsung A23 a23 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 13 Pro Max,Apple Apple 13 Pro Max 13 pro max,Apple,13 pro max,5,10,False,Apple 13 Pro Max - Apple - Affordable Gadgets,"Explore the Apple 13 Pro Max by Apple, a high-quality phone.",apple-13-pro-max,"13 pro max, apple, apple 13 pro max, phone",,[],"Discover the Apple 13 Pro Max 13 pro max from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 8,Apple Apple 8 8,Apple,8,5,10,False,Apple 8 - Apple - Affordable Gadgets,"Explore the Apple 8 by Apple, a high-quality phone.",apple-8,"8, apple, apple 8, phone",,[],"Discover the Apple 8 8 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 7,Apple Apple 7 7,Apple,7,5,10,False,Apple 7 - Apple - Affordable Gadgets,"Explore the Apple 7 by Apple, a high-quality phone.",apple-7,"7, apple, apple 7, phone",,[],"Discover the Apple 7 7 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple se,Apple Apple se se,Apple,se,5,10,False,Apple se - Apple - Affordable Gadgets,"Explore the Apple se by Apple, a high-quality phone.",apple-se,"apple, apple se, phone, se",,[],"Discover the Apple se se from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 12 Pro,Apple Apple 12 Pro 12 pro,Apple,12 pro,5,10,False,Apple 12 Pro - Apple - Affordable Gadgets,"Explore the Apple 12 Pro by Apple, a high-quality phone.",apple-12-pro,"12 pro, apple, apple 12 pro, phone",,[],"Discover the Apple 12 Pro 12 pro from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A24,Samsung Samsung A24 a24,Samsung,a24,5,10,False,Samsung A24 - Samsung - Affordable Gadgets,"Explore the Samsung A24 by Samsung, a high-quality phone.",samsung-a24,"a24, phone, samsung, samsung a24",,[],"Discover the Samsung A24 a24 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A30,Samsung Samsung A30 a30,Samsung,a30,5,10,False,Samsung A30 - Samsung - Affordable Gadgets,"Explore the Samsung A30 by Samsung, a high-quality phone.",samsung-a30,"a30, phone, samsung, samsung a30",,[],"Discover the Samsung A30 a30 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A04S,Samsung Samsung A04S a04s,Samsung,a04s,5,10,False,Samsung A04S - Samsung - Affordable Gadgets,"Explore the Samsung A04S by Samsung, a high-quality phone.",samsung-a04s,"a04s, phone, samsung, samsung a04s",,[],"Discover the Samsung A04S a04s from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S21 Ultra 5G,Samsung Samsung S21 Ultra 5G s21 ultra,Samsung,s21 ultra,5,10,False,Samsung S21 Ultra 5G - Samsung - Affordable Gadgets,"Explore the Samsung S21 Ultra 5G by Samsung, a high-quality phone.",samsung-s21-ultra-5g,"phone, s21 ultra, samsung, samsung s21 ultra 5g",,[],"Discover the Samsung S21 Ultra 5G s21 ultra from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple SE,Apple Apple SE se,Apple,se,5,10,False,Apple SE - Apple - Affordable Gadgets,"Explore the Apple SE by Apple, a high-quality phone.",apple-se,"apple, apple se, phone, se",,[],"Discover the Apple SE se from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 11 Pro,Apple Apple 11 Pro 11 pro,Apple,11 pro,5,10,False,Apple 11 Pro - Apple - Affordable Gadgets,"Explore the Apple 11 Pro by Apple, a high-quality phone.",apple-11-pro,"11 pro, apple, apple 11 pro, phone",,[],"Discover the Apple 11 Pro 11 pro from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
